Brand;Model;Price;Price;Availability;Useable Battery;Charge Speed;Acceleration 0 - 100 km/h;Top Speed;Total Power;Electric Range;Vehicle Consumption;Length;Width;Height;Cargo Volume;Towing Weight Braked;Seats;
Tesla;Tesla Model Y Long Range AWD(Juniper);€52,990;€52,990;Feb 2025 - Oct 2025;75.0 kWh;57 km/h;4.8 sec;201 km/h;378 kW (514 PS);455 km;165 Wh/km;4790 mm;2129 mm;1624 mm;117 L;1600 kg;5 people;
BYD;BYD SEAL U 71.8 kWh Comfort;€41,990;€41,990;Since June 2024;71.8 kWh;47 km/h;9.3 sec;175 km/h;160 kW (218 PS);360 km;199 Wh/km;4785 mm;2085 mm;1668 mm;No Data;1300 kg;5 people;
Mini;Mini Cooper SE;€35,700;€35,700;Mar 2021 - Feb 2024;28.9 kWh;58 km/h;7.3 sec;150 km/h;135 kW (184 PS);180 km;161 Wh/km;3850 mm;No Data;1432 mm;0 L;0 kg;4 people;
BYD;BYD SEAL U 87 kWh Design;€44,990;€44,990;Since June 2024;87.0 kWh;46 km/h;9.6 sec;175 km/h;160 kW (218 PS);425 km;205 Wh/km;4785 mm;2085 mm;1668 mm;No Data;1300 kg;5 people;
Dacia;Dacia Spring Electric 45;€16,900;€16,900;Since April 2024;25.0 kWh;37 km/h;19.1 sec;125 km/h;33 kW (45 PS);165 km;152 Wh/km;3700 mm;1770 mm;1516 mm;35 L;0 kg;4 people;
Volkswagen;Volkswagen e-Golf;€31,900;€31,900;May 2017 - Mar 2021;32.0 kWh;36 km/h;9.6 sec;150 km/h;100 kW (136 PS);190 km;168 Wh/km;4270 mm;No Data;1450 mm;No Data;0 kg;5 people;
Tesla;Tesla Model S Dual Motor;€110,970;€110,970;Jan 2023 - Jul 2025;95.0 kWh;57 km/h;3.2 sec;250 km/h;504 kW (685 PS);575 km;165 Wh/km;5021 mm;2189 mm;1431 mm;89 L;1600 kg;5 people;
Hyundai;Hyundai IONIQ Electric;€35,350;€35,350;Oct 2019 - Jul 2022;38.3 kWh;40 km/h;9.7 sec;165 km/h;100 kW (136 PS);250 km;153 Wh/km;4470 mm;No Data;1450 mm;No Data;0 kg;5 people;
Tesla;Tesla Model Y Standard RWD(Juniper);€40,970;€40,970;Since October 2025;60.0 kWh;59 km/h;7.2 sec;201 km/h;200 kW (272 PS);380 km;158 Wh/km;4797 mm;2129 mm;1621 mm;117 L;1600 kg;5 people;
CUPRA;CUPRA Born 150 kW - 58 kWh;€39,370;€39,370;Oct 2021 - Jun 2024;58.0 kWh;56 km/h;7.3 sec;160 km/h;150 kW (204 PS);350 km;166 Wh/km;4322 mm;2070 mm;1540 mm;0 L;0 kg;5 people;
Nissan;Nissan LEAF Extended Range 75 kWh(MY26);€42,000;€42,000;Expected February 2026;75.0 kWh;57 km/h;7.6 sec;160 km/h;160 kW (218 PS);455 km;165 Wh/km;4350 mm;2098 mm;1550 mm;No Data;975 kg;5 people;
Volvo;Volvo EX30 Single Motor ER(MY24-26);€44,990;€44,990;Since June 2023;65.0 kWh;53 km/h;5.3 sec;180 km/h;200 kW (272 PS);365 km;178 Wh/km;4233 mm;2032 mm;1549 mm;7 L;1600 kg;5 people;
Nissan;Nissan Ariya 87kWh;€53,490;€53,490;Since September 2022;87.0 kWh;33 km/h;7.6 sec;160 km/h;178 kW (242 PS);450 km;193 Wh/km;4595 mm;2172 mm;1660 mm;No Data;750 kg;5 people;
Mercedes-Benz;Mercedes-Benz G 580;€142,622;€142,622;Since April 2024;116.0 kWh;32 km/h;4.7 sec;180 km/h;432 kW (587 PS);395 km;294 Wh/km;4624 mm;No Data;1986 mm;0 L;0 kg;5 people;
Citroën;Citroën ë-C3 Comfort Range 44 kWh;€23,300;€23,300;Since February 2024;43.8 kWh;37 km/h;11.5 sec;135 km/h;83 kW (113 PS);255 km;172 Wh/km;4015 mm;1813 mm;1577 mm;0 L;550 kg;5 people;
Tesla;Tesla Model Y RWD(Juniper);€45,970;€45,970;Feb 2025 - Oct 2025;60.0 kWh;58 km/h;5.9 sec;201 km/h;220 kW (299 PS);375 km;160 Wh/km;4790 mm;2129 mm;1624 mm;117 L;1600 kg;5 people;
